

Generation: 0

| chromosome                                                                                                                                                                                                                                            | train   | val   |     fitness |   id | parents      |
| [0.0, -7.90819644766571e-13, -2.377716043988024e-13, 3.3402550309041424e-11, 5.4555305825667286e-11, -1.6396801052797632e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |         |       | 9.16638e+10 |    9 | (None, None) |

Generation: 1

| chromosome                                                                                                                                                                                                                                            |   id | parents      |       train |         val |     fitness |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]      |   10 | (1, 3)       | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |    1 | (None, None) | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   14 | (1, 1)       | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.360407561397324e-13, 3.240313820657028e-11, 5.866466060801892e-11, -1.6193609124250272e-15, 1.0094179235156574e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   11 | (4, 3)       | 5.58344e+10 | 1.25727e+11 | 9.07805e+10 |
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.4816338551098322e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   16 | (0, 1)       | 3.18769e+10 | 1.53812e+11 | 9.28442e+10 |
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.0108475418465044e-15, 2.9452804134545788e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   17 | (0, 0)       | 7.25143e+10 | 1.13449e+11 | 9.29816e+10 |
| [0.0, -7.814670062568501e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.4778745479761036e-15, 1.0094179235156574e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   12 | (4, 1)       | 3.1418e+10  | 1.54777e+11 | 9.30973e+10 |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.4674633053668893e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   13 | (0, 1)       | 3.02011e+10 | 1.57504e+11 | 9.38526e+10 |
| [0.0, -7.814670062568501e-13, -2.377716043988024e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.6193609124250272e-15, 1.0094179235156574e-15, 3.0357461649329554e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   15 | (3, 4)       | 3.56545e+10 | 1.67797e+11 | 1.01726e+11 |
| [0.0, -7.890375343784978e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5308493651814026e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0904958769356953e-06, -1.945596727696083e-08, 9.82789572938636e-10] |    0 | (None, None) | 6.25394e+11 | 6.09054e+11 | 6.17224e+11 |

Generation: 2

| chromosome                                                                                                                                                                                                                                            |   id | parents      |       train |         val |     fitness |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]      |   10 | (1, 3)       | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   22 | (1, 10)      | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   24 | (14, 16)     | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |    1 | (None, None) | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   18 | (14, 14)     | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.4816338551098322e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   20 | (14, 16)     | 3.18769e+10 | 1.53812e+11 | 9.28442e+10 |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.4816338551098322e-15, 1.0066502894256371e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   23 | (16, 14)     | 3.18769e+10 | 1.53812e+11 | 9.28442e+10 |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.6322864872825858e-15, 9.947947823851788e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.588649942392808e-10]    |   21 | (10, 11)     | 5.18297e+11 | 4.1769e+11  | 4.67993e+11 |
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.4816338551098322e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0912505058093316e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   25 | (10, 16)     | 5.95317e+11 | 5.87389e+11 | 5.91353e+11 |
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.9452804134545788e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.147153691846267e-10]  |   19 | (14, 17)     | 2.85905e+12 | 3.8412e+12  | 3.35013e+12 |

Generation: 3

| chromosome                                                                                                                                                                                                                                            |   id | parents   |       train |         val |     fitness |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]      |   10 | (1, 3)    | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   22 | (1, 10)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   26 | (24, 10)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.737408492162732e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   27 | (24, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.0078265499527866e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   29 | (18, 1)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   30 | (22, 20)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.680296691009931e-13, 3.2437837158473186e-11, 5.687358976841954e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   32 | (22, 24)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.6433485864338616e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   31 | (18, 10)  | 6.14292e+10 | 1.22282e+11 | 9.18558e+10 |
| [0.0, -7.873371500421602e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.4816338551098322e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   28 | (22, 20)  | 3.18769e+10 | 1.53812e+11 | 9.28442e+10 |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.01353881829206e-06, -1.945596727696083e-08, 1.0279228141617533e-09]   |   33 | (10, 18)  | 7.78977e+11 | 2.63832e+12 | 1.70865e+12 |

Generation: 4

| chromosome                                                                                                                                                                                                                                         |   id | parents   |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   22 | (1, 10)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.737408492162732e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   34 | (27, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   35 | (10, 10)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.597398462937848e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   36 | (10, 26)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   39 | (22, 10)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   40 | (26, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   41 | (30, 26)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.148503864070494e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   37 | (22, 29)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.339144114862606e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -2.0227930779402748e-08, 9.82789572938636e-10] |   38 | (27, 22)  | 2.50257e+11 | 1.89357e+11 | 2.19807e+11 |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.9240717014768093e-05, -2.1177482385634623e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   10 | (1, 3)    | 1.35949e+12 | 1.65475e+12 | 1.50712e+12 |

Generation: 5

| chromosome                                                                                                                                                                                                                                         |   id | parents   |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.737408492162732e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5753455862089278e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   45 | (34, 40)  | 4.66658e+10 | 1.33163e+11 | 8.99145e+10 |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   22 | (1, 10)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.737408492162732e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   34 | (27, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.864188885484865e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   44 | (39, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   47 | (39, 36)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.541181003145799e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 9.945527008506035e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   49 | (36, 34)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.229860576333515e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   46 | (35, 35)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.821199188845444e-13, -2.6104020234302375e-13, 3.195194325492351e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.956056367483336e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   42 | (40, 34)  | 6.41127e+10 | 1.16398e+11 | 9.02552e+10 |
| [0.0, -7.737408492162732e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.4585909587971547e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   43 | (34, 40)  | 2.92268e+10 | 1.59892e+11 | 9.45596e+10 |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.126536048161132e-10]  |   48 | (35, 36)  | 2.7237e+12  | 3.59659e+12 | 3.16015e+12 |

Generation: 6

| chromosome                                                                                                                                                                                                                                           |   id | parents   |       train |         val |     fitness |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.888476128687714e-13, -2.6104020234302375e-13, 3.1725227898367234e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   22 | (1, 10)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 9.945527008506035e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   53 | (47, 49)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.791998015351418e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   54 | (22, 22)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   56 | (47, 44)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.864188885484865e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |   55 | (44, 45)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.809185352479392e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5024462831272981e-15, 1.0082796140032728e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   45 | (34, 40)  | 3.46052e+10 | 1.4866e+11  | 9.16324e+10 |
| [0.0, -7.864188885484865e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 3.0709760384768415e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   57 | (45, 44)  | 2.61419e+10 | 2.4874e+11  | 1.37441e+11 |
| [0.0, -7.864188885484865e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5753455862089278e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -2.0216786565143922e-08, 9.82789572938636e-10]   |   52 | (44, 45)  | 2.5962e+11  | 1.93292e+11 | 2.26456e+11 |
| [0.0, -7.737408492162732e-13, -2.520679451148364e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.6292883027501066e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0697484024633777e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   51 | (34, 47)  | 4.33831e+11 | 3.54221e+11 | 3.94026e+11 |
| [0.0, -7.903657125364019e-13, -2.523255550532402e-13, 3.3146223291267484e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 9.945527008506035e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.8831024915845275e-08, 1.0675408676396577e-09] |   50 | (47, 49)  | 3.73166e+12 | 9.39753e+12 | 6.56459e+12 |

Generation: 7

| chromosome                                                                                                                                                                                                                                           |   id | parents   |       train |         val |     fitness |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.864188885484865e-13, -2.6104020234302375e-13, 3.2437837158473186e-11, 5.401516380721209e-11, -1.5701017896161348e-15, 1.0082796140032728e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |   62 | (55, 45)  | 4.56682e+10 | 1.34146e+11 | 8.99069e+10 |
| [0.0, -7.888476128687714e-13, -2.5617377803566906e-13, 3.154885720703316e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   61 | (22, 56)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.888476128687714e-13, -2.6104020234302375e-13, 3.1725227898367234e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 1.0065920934471386e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |   22 | (1, 10)   | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.587244797306914e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 9.945527008506035e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]     |   53 | (47, 49)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
| [0.0, -7.90819644766571e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 4.76640713051055e-11, -1.5496814888197526e-15, 9.945527008506035e-16, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |   59 | (53, 53)  | 4.19754e+10 | 1.38166e+11 | 9.0071e+10  |
