('W', '0', '0', 'D', '0', 'NONE')
('W', '0', '3', 'R', '50', 'RIGHT')
('W', '0', '3', 'R', '50', 'STAY')
('W', '0', '3', 'R', '50', 'SHOOT')
('W', '0', '3', 'R', '75', 'RIGHT')
('W', '0', '3', 'R', '75', 'STAY')
('W', '0', '3', 'R', '75', 'SHOOT')
('W', '0', '3', 'R', '100', 'RIGHT')
('W', '0', '3', 'R', '100', 'STAY')
('W', '0', '3', 'R', '100', 'SHOOT')
('W', '1', '0', 'D', '0', 'NONE')
('W', '1', '0', 'D', '25', 'RIGHT')
('W', '1', '0', 'D', '25', 'STAY')
('W', '1', '0', 'D', '50', 'RIGHT')
('W', '1', '0', 'D', '50', 'STAY')
('W', '1', '0', 'D', '75', 'RIGHT')
('W', '1', '0', 'D', '75', 'STAY')
('W', '1', '0', 'D', '100', 'RIGHT')
('W', '1', '0', 'D', '100', 'STAY')
('W', '1', '0', 'R', '0', 'NONE')
('W', '1', '0', 'R', '25', 'RIGHT')
('W', '1', '0', 'R', '25', 'STAY')
('W', '1', '0', 'R', '50', 'RIGHT')
('W', '1', '0', 'R', '50', 'STAY')
('W', '1', '0', 'R', '75', 'RIGHT')
('W', '1', '0', 'R', '75', 'STAY')
('W', '1', '0', 'R', '100', 'RIGHT')
('W', '1', '0', 'R', '100', 'STAY')
('W', '1', '1', 'D', '0', 'NONE')
('W', '1', '1', 'D', '25', 'RIGHT')
('W', '1', '1', 'D', '25', 'STAY')
('W', '1', '1', 'D', '25', 'SHOOT')
('W', '1', '1', 'D', '50', 'RIGHT')
('W', '1', '1', 'D', '50', 'STAY')
('W', '1', '1', 'D', '50', 'SHOOT')
('W', '1', '1', 'D', '75', 'RIGHT')
('W', '1', '1', 'D', '75', 'STAY')
('W', '1', '1', 'D', '75', 'SHOOT')
('W', '1', '1', 'D', '100', 'RIGHT')
('W', '1', '1', 'D', '100', 'STAY')
('W', '1', '1', 'D', '100', 'SHOOT')
('W', '1', '1', 'R', '0', 'NONE')
('W', '1', '1', 'R', '25', 'RIGHT')
('W', '1', '1', 'R', '25', 'STAY')
('W', '1', '1', 'R', '25', 'SHOOT')
('W', '1', '1', 'R', '50', 'RIGHT')
('W', '1', '1', 'R', '50', 'STAY')
('W', '1', '1', 'R', '50', 'SHOOT')
('W', '1', '1', 'R', '75', 'RIGHT')
('W', '1', '1', 'R', '75', 'STAY')
('W', '1', '1', 'R', '75', 'SHOOT')
('W', '1', '1', 'R', '100', 'RIGHT')
('W', '1', '1', 'R', '100', 'STAY')
('W', '1', '1', 'R', '100', 'SHOOT')
('W', '1', '2', 'D', '0', 'NONE')
('W', '1', '2', 'D', '25', 'RIGHT')
('W', '1', '2', 'D', '25', 'STAY')
('W', '1', '2', 'D', '25', 'SHOOT')
('W', '1', '2', 'D', '50', 'RIGHT')
('W', '1', '2', 'D', '50', 'STAY')
('W', '1', '2', 'D', '50', 'SHOOT')
('W', '1', '2', 'D', '75', 'RIGHT')
('W', '1', '2', 'D', '75', 'STAY')
('W', '1', '2', 'D', '75', 'SHOOT')
('W', '1', '2', 'D', '100', 'RIGHT')
('W', '1', '2', 'D', '100', 'STAY')
('W', '1', '2', 'D', '100', 'SHOOT')
('W', '1', '2', 'R', '0', 'NONE')
('W', '1', '2', 'R', '25', 'RIGHT')
('W', '1', '2', 'R', '25', 'STAY')
('W', '1', '2', 'R', '25', 'SHOOT')
('W', '1', '2', 'R', '50', 'RIGHT')
('W', '1', '2', 'R', '50', 'STAY')
('W', '1', '2', 'R', '50', 'SHOOT')
('W', '1', '2', 'R', '75', 'RIGHT')
('W', '1', '2', 'R', '75', 'STAY')
('W', '1', '2', 'R', '75', 'SHOOT')
('W', '1', '2', 'R', '100', 'RIGHT')
('W', '1', '2', 'R', '100', 'STAY')
('W', '1', '2', 'R', '100', 'SHOOT')
('W', '1', '3', 'D', '0', 'NONE')
('W', '1', '3', 'D', '25', 'RIGHT')
('W', '1', '3', 'D', '25', 'STAY')
('W', '1', '3', 'D', '25', 'SHOOT')
('W', '1', '3', 'D', '50', 'RIGHT')
('W', '1', '3', 'D', '50', 'STAY')
('W', '1', '3', 'D', '50', 'SHOOT')
('W', '1', '3', 'D', '75', 'RIGHT')
('W', '1', '3', 'D', '75', 'STAY')
('W', '1', '3', 'D', '75', 'SHOOT')
('W', '1', '3', 'D', '100', 'RIGHT')
('W', '1', '3', 'D', '100', 'STAY')
('W', '1', '3', 'D', '100', 'SHOOT')
('W', '1', '3', 'R', '0', 'NONE')
('W', '1', '3', 'R', '25', 'RIGHT')
('W', '1', '3', 'R', '25', 'STAY')
('W', '1', '3', 'R', '25', 'SHOOT')
('W', '1', '3', 'R', '50', 'RIGHT')
('W', '1', '3', 'R', '50', 'STAY')
('W', '1', '3', 'R', '50', 'SHOOT')
('W', '1', '3', 'R', '75', 'RIGHT')
('W', '1', '3', 'R', '75', 'STAY')
('W', '1', '3', 'R', '75', 'SHOOT')
('W', '1', '3', 'R', '100', 'RIGHT')
('W', '1', '3', 'R', '100', 'STAY')
('W', '1', '3', 'R', '100', 'SHOOT')
('W', '2', '0', 'D', '0', 'NONE')
('W', '2', '0', 'D', '25', 'RIGHT')
('W', '2', '0', 'D', '25', 'STAY')
('W', '2', '0', 'D', '50', 'RIGHT')
('W', '2', '0', 'D', '50', 'STAY')
('W', '2', '0', 'D', '75', 'RIGHT')
('W', '2', '0', 'D', '75', 'STAY')
('W', '2', '0', 'D', '100', 'RIGHT')
('W', '2', '0', 'D', '100', 'STAY')
('W', '2', '0', 'R', '0', 'NONE')
('W', '2', '0', 'R', '25', 'RIGHT')
('W', '2', '0', 'R', '25', 'STAY')
('W', '2', '0', 'R', '50', 'RIGHT')
('W', '2', '0', 'R', '50', 'STAY')
('W', '2', '0', 'R', '75', 'RIGHT')
('W', '2', '0', 'R', '75', 'STAY')
('W', '2', '0', 'R', '100', 'RIGHT')
('W', '2', '0', 'R', '100', 'STAY')
('W', '2', '1', 'D', '0', 'NONE')
('W', '2', '1', 'D', '25', 'RIGHT')
('W', '2', '1', 'D', '25', 'STAY')
('W', '2', '1', 'D', '25', 'SHOOT')
('W', '2', '1', 'D', '50', 'RIGHT')
('W', '2', '1', 'D', '50', 'STAY')
('W', '2', '1', 'D', '50', 'SHOOT')
('W', '2', '1', 'D', '75', 'RIGHT')
('W', '2', '1', 'D', '75', 'STAY')
('W', '2', '1', 'D', '75', 'SHOOT')
('W', '2', '1', 'D', '100', 'RIGHT')
('W', '2', '1', 'D', '100', 'STAY')
('W', '2', '1', 'D', '100', 'SHOOT')
('W', '2', '1', 'R', '0', 'NONE')
('W', '2', '1', 'R', '25', 'RIGHT')
('W', '2', '1', 'R', '25', 'STAY')
('W', '2', '1', 'R', '25', 'SHOOT')
('W', '2', '1', 'R', '50', 'RIGHT')
('W', '2', '1', 'R', '50', 'STAY')
('W', '2', '1', 'R', '50', 'SHOOT')
('W', '2', '1', 'R', '75', 'RIGHT')
('W', '2', '1', 'R', '75', 'STAY')
('W', '2', '1', 'R', '75', 'SHOOT')
('W', '2', '1', 'R', '100', 'RIGHT')
('W', '2', '1', 'R', '100', 'STAY')
('W', '2', '1', 'R', '100', 'SHOOT')
('W', '2', '2', 'D', '0', 'NONE')
('W', '2', '2', 'D', '25', 'RIGHT')
('W', '2', '2', 'D', '25', 'STAY')
('W', '2', '2', 'D', '25', 'SHOOT')
('W', '2', '2', 'D', '50', 'RIGHT')
('W', '2', '2', 'D', '50', 'STAY')
('W', '2', '2', 'D', '50', 'SHOOT')
('W', '2', '2', 'D', '75', 'RIGHT')
('W', '2', '2', 'D', '75', 'STAY')
('W', '2', '2', 'D', '75', 'SHOOT')
('W', '2', '2', 'D', '100', 'RIGHT')
('W', '2', '2', 'D', '100', 'STAY')
('W', '2', '2', 'D', '100', 'SHOOT')
('W', '2', '2', 'R', '0', 'NONE')
('W', '2', '2', 'R', '25', 'RIGHT')
('W', '2', '2', 'R', '25', 'STAY')
('W', '2', '2', 'R', '25', 'SHOOT')
('W', '2', '2', 'R', '50', 'RIGHT')
('W', '2', '2', 'R', '50', 'STAY')
('W', '2', '2', 'R', '50', 'SHOOT')
('W', '2', '2', 'R', '75', 'RIGHT')
('W', '2', '2', 'R', '75', 'STAY')
('W', '2', '2', 'R', '75', 'SHOOT')
('W', '2', '2', 'R', '100', 'RIGHT')
('W', '2', '2', 'R', '100', 'STAY')
('W', '2', '2', 'R', '100', 'SHOOT')
('W', '2', '3', 'D', '0', 'NONE')
('W', '2', '3', 'D', '25', 'RIGHT')
('W', '2', '3', 'D', '25', 'STAY')
('W', '2', '3', 'D', '25', 'SHOOT')
('W', '2', '3', 'D', '50', 'RIGHT')
('W', '2', '3', 'D', '50', 'STAY')
('W', '2', '3', 'D', '50', 'SHOOT')
('W', '2', '3', 'D', '75', 'RIGHT')
('W', '2', '3', 'D', '75', 'STAY')
('W', '2', '3', 'D', '75', 'SHOOT')
('W', '2', '3', 'D', '100', 'RIGHT')
('W', '2', '3', 'D', '100', 'STAY')
('W', '2', '3', 'D', '100', 'SHOOT')
('W', '2', '3', 'R', '0', 'NONE')
('W', '2', '3', 'R', '25', 'RIGHT')
('W', '2', '3', 'R', '25', 'STAY')
('W', '2', '3', 'R', '25', 'SHOOT')
('W', '2', '3', 'R', '50', 'RIGHT')
('W', '2', '3', 'R', '50', 'STAY')
('W', '2', '3', 'R', '50', 'SHOOT')
('W', '2', '3', 'R', '75', 'RIGHT')
('W', '2', '3', 'R', '75', 'STAY')
('W', '2', '3', 'R', '75', 'SHOOT')
('W', '2', '3', 'R', '100', 'RIGHT')
('W', '2', '3', 'R', '100', 'STAY')
('W', '2', '3', 'R', '100', 'SHOOT')
('N', '0', '0', 'D', '0', 'NONE')
('N', '0', '0', 'D', '25', 'DOWN')
('N', '0', '0', 'D', '25', 'STAY')
('N', '0', '0', 'D', '50', 'DOWN')
('N', '0', '0', 'D', '50', 'STAY')
('N', '0', '0', 'D', '75', 'DOWN')
('N', '0', '0', 'D', '75', 'STAY')
('N', '0', '0', 'D', '100', 'DOWN')
('N', '0', '0', 'D', '100', 'STAY')
('N', '0', '0', 'R', '0', 'NONE')
('N', '0', '0', 'R', '25', 'DOWN')
('N', '0', '0', 'R', '25', 'STAY')
('N', '0', '0', 'R', '50', 'DOWN')
('N', '0', '0', 'R', '50', 'STAY')
('N', '0', '0', 'R', '75', 'DOWN')
('N', '0', '0', 'R', '75', 'STAY')
('N', '0', '0', 'R', '100', 'DOWN')
('N', '0', '0', 'R', '100', 'STAY')
('N', '0', '1', 'D', '0', 'NONE')
('N', '0', '1', 'D', '25', 'DOWN')
('N', '0', '1', 'D', '25', 'STAY')
('N', '0', '1', 'D', '50', 'DOWN')
('N', '0', '1', 'D', '50', 'STAY')
('N', '0', '1', 'D', '75', 'DOWN')
('N', '0', '1', 'D', '75', 'STAY')
('N', '0', '1', 'D', '100', 'DOWN')
('N', '0', '1', 'D', '100', 'STAY')
('N', '0', '1', 'R', '0', 'NONE')
('N', '0', '1', 'R', '25', 'DOWN')
('N', '0', '1', 'R', '25', 'STAY')
('N', '0', '1', 'R', '50', 'DOWN')
('N', '0', '1', 'R', '50', 'STAY')
('N', '0', '1', 'R', '75', 'DOWN')
('N', '0', '1', 'R', '75', 'STAY')
('N', '0', '1', 'R', '100', 'DOWN')
('N', '0', '1', 'R', '100', 'STAY')
('N', '0', '2', 'D', '0', 'NONE')
('N', '0', '2', 'D', '25', 'DOWN')
('N', '0', '2', 'D', '25', 'STAY')
('N', '0', '2', 'D', '50', 'DOWN')
('N', '0', '2', 'D', '50', 'STAY')
('N', '0', '2', 'D', '75', 'DOWN')
('N', '0', '2', 'D', '75', 'STAY')
('N', '0', '2', 'D', '100', 'DOWN')
('N', '0', '2', 'D', '100', 'STAY')
('N', '0', '2', 'R', '0', 'NONE')
('N', '0', '2', 'R', '25', 'DOWN')
('N', '0', '2', 'R', '25', 'STAY')
('N', '0', '2', 'R', '50', 'DOWN')
('N', '0', '2', 'R', '50', 'STAY')
('N', '0', '2', 'R', '75', 'DOWN')
('N', '0', '2', 'R', '75', 'STAY')
('N', '0', '2', 'R', '100', 'DOWN')
('N', '0', '2', 'R', '100', 'STAY')
('N', '0', '3', 'D', '0', 'NONE')
('N', '0', '3', 'D', '25', 'DOWN')
('N', '0', '3', 'D', '25', 'STAY')
('N', '0', '3', 'D', '50', 'DOWN')
('N', '0', '3', 'D', '50', 'STAY')
('N', '0', '3', 'D', '75', 'DOWN')
('N', '0', '3', 'D', '75', 'STAY')
('N', '0', '3', 'D', '100', 'DOWN')
('N', '0', '3', 'D', '100', 'STAY')
('N', '0', '3', 'R', '0', 'NONE')
('N', '0', '3', 'R', '25', 'DOWN')
('N', '0', '3', 'R', '25', 'STAY')
('N', '0', '3', 'R', '50', 'DOWN')
('N', '0', '3', 'R', '50', 'STAY')
('N', '0', '3', 'R', '75', 'DOWN')
('N', '0', '3', 'R', '75', 'STAY')
('N', '0', '3', 'R', '100', 'DOWN')
('N', '0', '3', 'R', '100', 'STAY')
('N', '1', '0', 'D', '0', 'NONE')
('N', '1', '0', 'D', '25', 'DOWN')
('N', '1', '0', 'D', '25', 'STAY')
('N', '1', '0', 'D', '25', 'CRAFT')
('N', '1', '0', 'D', '50', 'DOWN')
('N', '1', '0', 'D', '50', 'STAY')
('N', '1', '0', 'D', '50', 'CRAFT')
('N', '1', '0', 'D', '75', 'DOWN')
('N', '1', '0', 'D', '75', 'STAY')
('N', '1', '0', 'D', '75', 'CRAFT')
('N', '1', '0', 'D', '100', 'DOWN')
('N', '1', '0', 'D', '100', 'STAY')
('N', '1', '0', 'D', '100', 'CRAFT')
('N', '1', '0', 'R', '0', 'NONE')
('N', '1', '0', 'R', '25', 'DOWN')
('N', '1', '0', 'R', '25', 'STAY')
('N', '1', '0', 'R', '25', 'CRAFT')
('N', '1', '0', 'R', '50', 'DOWN')
('N', '1', '0', 'R', '50', 'STAY')
('N', '1', '0', 'R', '50', 'CRAFT')
('N', '1', '0', 'R', '75', 'DOWN')
('N', '1', '0', 'R', '75', 'STAY')
('N', '1', '0', 'R', '75', 'CRAFT')
('N', '1', '0', 'R', '100', 'DOWN')
('N', '1', '0', 'R', '100', 'STAY')
('N', '1', '0', 'R', '100', 'CRAFT')
('N', '1', '1', 'D', '0', 'NONE')
('N', '1', '1', 'D', '25', 'DOWN')
('N', '1', '1', 'D', '25', 'STAY')
('N', '1', '1', 'D', '25', 'CRAFT')
('N', '1', '1', 'D', '50', 'DOWN')
('N', '1', '1', 'D', '50', 'STAY')
('N', '1', '1', 'D', '50', 'CRAFT')
('N', '1', '1', 'D', '75', 'DOWN')
('N', '1', '1', 'D', '75', 'STAY')
('N', '1', '1', 'D', '75', 'CRAFT')
('N', '1', '1', 'D', '100', 'DOWN')
('N', '1', '1', 'D', '100', 'STAY')
('N', '1', '1', 'D', '100', 'CRAFT')
('N', '1', '1', 'R', '0', 'NONE')
('N', '1', '1', 'R', '25', 'DOWN')
('N', '1', '1', 'R', '25', 'STAY')
('N', '1', '1', 'R', '25', 'CRAFT')
('N', '1', '1', 'R', '50', 'DOWN')
('N', '1', '1', 'R', '50', 'STAY')
('N', '1', '1', 'R', '50', 'CRAFT')
('N', '1', '1', 'R', '75', 'DOWN')
('N', '1', '1', 'R', '75', 'STAY')
('N', '1', '1', 'R', '75', 'CRAFT')
('N', '1', '1', 'R', '100', 'DOWN')
('N', '1', '1', 'R', '100', 'STAY')
('N', '1', '1', 'R', '100', 'CRAFT')
('N', '1', '2', 'D', '0', 'NONE')
('N', '1', '2', 'D', '25', 'DOWN')
('N', '1', '2', 'D', '25', 'STAY')
('N', '1', '2', 'D', '25', 'CRAFT')
('N', '1', '2', 'D', '50', 'DOWN')
('N', '1', '2', 'D', '50', 'STAY')
('N', '1', '2', 'D', '50', 'CRAFT')
('N', '1', '2', 'D', '75', 'DOWN')
('N', '1', '2', 'D', '75', 'STAY')
('N', '1', '2', 'D', '75', 'CRAFT')
('N', '1', '2', 'D', '100', 'DOWN')
('N', '1', '2', 'D', '100', 'STAY')
('N', '1', '2', 'D', '100', 'CRAFT')
('N', '1', '2', 'R', '0', 'NONE')
('N', '1', '2', 'R', '25', 'DOWN')
('N', '1', '2', 'R', '25', 'STAY')
('N', '1', '2', 'R', '25', 'CRAFT')
('N', '1', '2', 'R', '50', 'DOWN')
('N', '1', '2', 'R', '50', 'STAY')
('N', '1', '2', 'R', '50', 'CRAFT')
('N', '1', '2', 'R', '75', 'DOWN')
('N', '1', '2', 'R', '75', 'STAY')
('N', '1', '2', 'R', '75', 'CRAFT')
('N', '1', '2', 'R', '100', 'DOWN')
('N', '1', '2', 'R', '100', 'STAY')
('N', '1', '2', 'R', '100', 'CRAFT')
('N', '1', '3', 'D', '0', 'NONE')
('N', '1', '3', 'D', '25', 'DOWN')
('N', '1', '3', 'D', '25', 'STAY')
('N', '1', '3', 'D', '25', 'CRAFT')
('N', '1', '3', 'D', '50', 'DOWN')
('N', '1', '3', 'D', '50', 'STAY')
('N', '1', '3', 'D', '50', 'CRAFT')
('N', '1', '3', 'D', '75', 'DOWN')
('N', '1', '3', 'D', '75', 'STAY')
('N', '1', '3', 'D', '75', 'CRAFT')
('N', '1', '3', 'D', '100', 'DOWN')
('N', '1', '3', 'D', '100', 'STAY')
('N', '1', '3', 'D', '100', 'CRAFT')
('N', '1', '3', 'R', '0', 'NONE')
('N', '1', '3', 'R', '25', 'DOWN')
('N', '1', '3', 'R', '25', 'STAY')
('N', '1', '3', 'R', '25', 'CRAFT')
('N', '1', '3', 'R', '50', 'DOWN')
('N', '1', '3', 'R', '50', 'STAY')
('N', '1', '3', 'R', '50', 'CRAFT')
('N', '1', '3', 'R', '75', 'DOWN')
('N', '1', '3', 'R', '75', 'STAY')
('N', '1', '3', 'R', '75', 'CRAFT')
('N', '1', '3', 'R', '100', 'DOWN')
('N', '1', '3', 'R', '100', 'STAY')
('N', '1', '3', 'R', '100', 'CRAFT')
('N', '2', '0', 'D', '0', 'NONE')
('N', '2', '0', 'D', '25', 'DOWN')
('N', '2', '0', 'D', '25', 'STAY')
('N', '2', '0', 'D', '25', 'CRAFT')
('N', '2', '0', 'D', '50', 'DOWN')
('N', '2', '0', 'D', '50', 'STAY')
('N', '2', '0', 'D', '50', 'CRAFT')
('N', '2', '0', 'D', '75', 'DOWN')
('N', '2', '0', 'D', '75', 'STAY')
('N', '2', '0', 'D', '75', 'CRAFT')
('N', '2', '0', 'D', '100', 'DOWN')
('N', '2', '0', 'D', '100', 'STAY')
('N', '2', '0', 'D', '100', 'CRAFT')
('N', '2', '0', 'R', '0', 'NONE')
('N', '2', '0', 'R', '25', 'DOWN')
('N', '2', '0', 'R', '25', 'STAY')
('N', '2', '0', 'R', '25', 'CRAFT')
('N', '2', '0', 'R', '50', 'DOWN')
('N', '2', '0', 'R', '50', 'STAY')
('N', '2', '0', 'R', '50', 'CRAFT')
('N', '2', '0', 'R', '75', 'DOWN')
('N', '2', '0', 'R', '75', 'STAY')
('N', '2', '0', 'R', '75', 'CRAFT')
('N', '2', '0', 'R', '100', 'DOWN')
('N', '2', '0', 'R', '100', 'STAY')
('N', '2', '0', 'R', '100', 'CRAFT')
('N', '2', '1', 'D', '0', 'NONE')
('N', '2', '1', 'D', '25', 'DOWN')
('N', '2', '1', 'D', '25', 'STAY')
('N', '2', '1', 'D', '25', 'CRAFT')
('N', '2', '1', 'D', '50', 'DOWN')
('N', '2', '1', 'D', '50', 'STAY')
('N', '2', '1', 'D', '50', 'CRAFT')
('N', '2', '1', 'D', '75', 'DOWN')
('N', '2', '1', 'D', '75', 'STAY')
('N', '2', '1', 'D', '75', 'CRAFT')
('N', '2', '1', 'D', '100', 'DOWN')
('N', '2', '1', 'D', '100', 'STAY')
('N', '2', '1', 'D', '100', 'CRAFT')
('N', '2', '1', 'R', '0', 'NONE')
('N', '2', '1', 'R', '25', 'DOWN')
('N', '2', '1', 'R', '25', 'STAY')
('N', '2', '1', 'R', '25', 'CRAFT')
('N', '2', '1', 'R', '50', 'DOWN')
('N', '2', '1', 'R', '50', 'STAY')
('N', '2', '1', 'R', '50', 'CRAFT')
('N', '2', '1', 'R', '75', 'DOWN')
('N', '2', '1', 'R', '75', 'STAY')
('N', '2', '1', 'R', '75', 'CRAFT')
('N', '2', '1', 'R', '100', 'DOWN')
('N', '2', '1', 'R', '100', 'STAY')
('N', '2', '1', 'R', '100', 'CRAFT')
('N', '2', '2', 'D', '0', 'NONE')
('N', '2', '2', 'D', '25', 'DOWN')
('N', '2', '2', 'D', '25', 'STAY')
('N', '2', '2', 'D', '25', 'CRAFT')
('N', '2', '2', 'D', '50', 'DOWN')
('N', '2', '2', 'D', '50', 'STAY')
('N', '2', '2', 'D', '50', 'CRAFT')
('N', '2', '2', 'D', '75', 'DOWN')
('N', '2', '2', 'D', '75', 'STAY')
('N', '2', '2', 'D', '75', 'CRAFT')
('N', '2', '2', 'D', '100', 'DOWN')
('N', '2', '2', 'D', '100', 'STAY')
('N', '2', '2', 'D', '100', 'CRAFT')
('N', '2', '2', 'R', '0', 'NONE')
('N', '2', '2', 'R', '25', 'DOWN')
('N', '2', '2', 'R', '25', 'STAY')
('N', '2', '2', 'R', '25', 'CRAFT')
('N', '2', '2', 'R', '50', 'DOWN')
('N', '2', '2', 'R', '50', 'STAY')
('N', '2', '2', 'R', '50', 'CRAFT')
('N', '2', '2', 'R', '75', 'DOWN')
('N', '2', '2', 'R', '75', 'STAY')
('N', '2', '2', 'R', '75', 'CRAFT')
('N', '2', '2', 'R', '100', 'DOWN')
('N', '2', '2', 'R', '100', 'STAY')
('N', '2', '2', 'R', '100', 'CRAFT')
('N', '2', '3', 'D', '0', 'NONE')
('N', '2', '3', 'D', '25', 'DOWN')
('N', '2', '3', 'D', '25', 'STAY')
('N', '2', '3', 'D', '25', 'CRAFT')
('N', '2', '3', 'D', '50', 'DOWN')
('N', '2', '3', 'D', '50', 'STAY')
('N', '2', '3', 'D', '50', 'CRAFT')
('N', '2', '3', 'D', '75', 'DOWN')
('N', '2', '3', 'D', '75', 'STAY')
('N', '2', '3', 'D', '75', 'CRAFT')
('N', '2', '3', 'D', '100', 'DOWN')
('N', '2', '3', 'D', '100', 'STAY')
('N', '2', '3', 'D', '100', 'CRAFT')
('N', '2', '3', 'R', '0', 'NONE')
('N', '2', '3', 'R', '25', 'DOWN')
('N', '2', '3', 'R', '25', 'STAY')
('N', '2', '3', 'R', '25', 'CRAFT')
('N', '2', '3', 'R', '50', 'DOWN')
('N', '2', '3', 'R', '50', 'STAY')
('N', '2', '3', 'R', '50', 'CRAFT')
('N', '2', '3', 'R', '75', 'DOWN')
('N', '2', '3', 'R', '75', 'STAY')
('N', '2', '3', 'R', '75', 'CRAFT')
('N', '2', '3', 'R', '100', 'DOWN')
('N', '2', '3', 'R', '100', 'STAY')
('N', '2', '3', 'R', '100', 'CRAFT')
('E', '0', '0', 'D', '0', 'NONE')
('E', '0', '0', 'D', '25', 'LEFT')
('E', '0', '0', 'D', '25', 'STAY')
('E', '0', '0', 'D', '25', 'HIT')
('E', '0', '0', 'D', '50', 'LEFT')
('E', '0', '0', 'D', '50', 'STAY')
('E', '0', '0', 'D', '50', 'HIT')
('E', '0', '0', 'D', '75', 'LEFT')
('E', '0', '0', 'D', '75', 'STAY')
('E', '0', '0', 'D', '75', 'HIT')
('E', '0', '0', 'D', '100', 'LEFT')
('E', '0', '0', 'D', '100', 'STAY')
('E', '0', '0', 'D', '100', 'HIT')
('E', '0', '0', 'R', '0', 'NONE')
('E', '0', '0', 'R', '25', 'LEFT')
